"Date","Open","High","Low","Close"
"Thu Sep 05 2002 00:00:00 GMT+0530 (India Standard Time)","1006.90","1013.40","1004.20","1008.60"
"Fri Sep 06 2002 00:00:00 GMT+0530 (India Standard Time)","1008.40","1008.40","992.70","995.20"
"Mon Sep 09 2002 00:00:00 GMT+0530 (India Standard Time)","992.00","1005.80","985.20","998.50"
"Wed Sep 11 2002 00:00:00 GMT+0530 (India Standard Time)","998.60","1002.30","993.30","998.80"
"Thu Sep 12 2002 00:00:00 GMT+0530 (India Standard Time)","998.90","1005.10","998.80","1001.60"
"Fri Sep 13 2002 00:00:00 GMT+0530 (India Standard Time)","1001.40","1001.40","989.80","992.00"
"Mon Sep 16 2002 00:00:00 GMT+0530 (India Standard Time)","991.70","997.00","983.50","985.70"
"Tue Sep 17 2002 00:00:00 GMT+0530 (India Standard Time)","985.70","996.80","985.70","994.90"
"Wed Sep 18 2002 00:00:00 GMT+0530 (India Standard Time)","994.10","994.10","981.60","983.60"
"Thu Sep 19 2002 00:00:00 GMT+0530 (India Standard Time)","983.40","985.20","970.80","976.00"
"Fri Sep 20 2002 00:00:00 GMT+0530 (India Standard Time)","975.60","975.60","960.70","969.60"
"Mon Sep 23 2002 00:00:00 GMT+0530 (India Standard Time)","969.80","974.70","967.30","970.30"
"Tue Sep 24 2002 00:00:00 GMT+0530 (India Standard Time)","969.90","969.90","960.20","966.20"
"Wed Sep 25 2002 00:00:00 GMT+0530 (India Standard Time)","964.60","971.80","960.50","970.00"
"Thu Sep 26 2002 00:00:00 GMT+0530 (India Standard Time)","970.10","976.20","968.20","969.90"
"Fri Sep 27 2002 00:00:00 GMT+0530 (India Standard Time)","969.90","978.00","969.20","976.40"
"Mon Sep 30 2002 00:00:00 GMT+0530 (India Standard Time)","976.10","976.10","961.50","963.10"
"Tue Oct 01 2002 00:00:00 GMT+0530 (India Standard Time)","961.10","964.20","950.30","955.20"
"Thu Oct 03 2002 00:00:00 GMT+0530 (India Standard Time)","955.30","957.90","945.80","948.20"
"Fri Oct 04 2002 00:00:00 GMT+0530 (India Standard Time)","948.10","951.80","944.50","948.20"
"Mon Oct 07 2002 00:00:00 GMT+0530 (India Standard Time)","947.80","956.30","946.20","954.70"
"Tue Oct 08 2002 00:00:00 GMT+0530 (India Standard Time)","954.80","963.10","952.50","960.80"
"Wed Oct 09 2002 00:00:00 GMT+0530 (India Standard Time)","960.80","968.70","952.90","954.70"
"Thu Oct 10 2002 00:00:00 GMT+0530 (India Standard Time)","954.80","960.40","945.00","958.40"
"Fri Oct 11 2002 00:00:00 GMT+0530 (India Standard Time)","958.40","973.50","958.40","971.00"
"Mon Oct 14 2002 00:00:00 GMT+0530 (India Standard Time)","971.50","976.50","969.00","972.40"
"Wed Oct 16 2002 00:00:00 GMT+0530 (India Standard Time)","972.90","983.60","971.70","973.60"
"Thu Oct 17 2002 00:00:00 GMT+0530 (India Standard Time)","973.70","976.00","966.50","973.30"
"Fri Oct 18 2002 00:00:00 GMT+0530 (India Standard Time)","973.80","982.50","968.80","971.60"
"Mon Oct 21 2002 00:00:00 GMT+0530 (India Standard Time)","971.70","976.20","965.60","967.30"
"Tue Oct 22 2002 00:00:00 GMT+0530 (India Standard Time)","967.50","976.30","961.60","962.50"
"Wed Oct 23 2002 00:00:00 GMT+0530 (India Standard Time)","962.90","963.70","955.40","957.30"
"Thu Oct 24 2002 00:00:00 GMT+0530 (India Standard Time)","957.70","959.80","945.00","946.90"
"Fri Oct 25 2002 00:00:00 GMT+0530 (India Standard Time)","946.80","946.80","929.20","932.20"
"Mon Oct 28 2002 00:00:00 GMT+0530 (India Standard Time)","932.30","934.90","920.10","922.70"
"Tue Oct 29 2002 00:00:00 GMT+0530 (India Standard Time)","922.50","939.70","921.60","936.90"
"Wed Oct 30 2002 00:00:00 GMT+0530 (India Standard Time)","936.10","944.30","935.90","937.70"
"Thu Oct 31 2002 00:00:00 GMT+0530 (India Standard Time)","937.30","953.30","937.00","951.40"
"Fri Nov 01 2002 00:00:00 GMT+0530 (India Standard Time)","951.40","956.90","946.40","951.40"
"Mon Nov 04 2002 00:00:00 GMT+0530 (India Standard Time)","951.60","965.50","951.60","962.10"
"Tue Nov 05 2002 00:00:00 GMT+0530 (India Standard Time)","962.80","963.70","957.20","962.30"
"Thu Nov 07 2002 00:00:00 GMT+0530 (India Standard Time)","962.30","970.20","957.90","960.70"
"Fri Nov 08 2002 00:00:00 GMT+0530 (India Standard Time)","960.50","960.90","954.30","956.90"
"Mon Nov 11 2002 00:00:00 GMT+0530 (India Standard Time)","957.50","958.50","952.10","954.00"
"Tue Nov 12 2002 00:00:00 GMT+0530 (India Standard Time)","953.90","960.80","948.00","959.80"
"Wed Nov 13 2002 00:00:00 GMT+0530 (India Standard Time)","960.30","965.70","956.90","962.60"
"Thu Nov 14 2002 00:00:00 GMT+0530 (India Standard Time)","964.10","974.10","963.50","971.90"
"Fri Nov 15 2002 00:00:00 GMT+0530 (India Standard Time)","972.30","992.00","972.30","990.30"
"Mon Nov 18 2002 00:00:00 GMT+0530 (India Standard Time)","990.30","1000.30","989.00","996.80"
"Wed Nov 20 2002 00:00:00 GMT+0530 (India Standard Time)","996.80","1007.20","992.30","1001.60"
"Thu Nov 21 2002 00:00:00 GMT+0530 (India Standard Time)","1001.80","1012.70","1001.80","1008.70"
"Fri Nov 22 2002 00:00:00 GMT+0530 (India Standard Time)","1009.50","1026.00","1009.50","1020.10"
"Mon Nov 25 2002 00:00:00 GMT+0530 (India Standard Time)","1020.90","1030.30","1017.50","1026.20"
"Tue Nov 26 2002 00:00:00 GMT+0530 (India Standard Time)","1026.40","1040.40","1026.00","1036.10"
"Wed Nov 27 2002 00:00:00 GMT+0530 (India Standard Time)","1036.30","1042.20","1027.70","1031.00"
"Thu Nov 28 2002 00:00:00 GMT+0530 (India Standard Time)","1031.20","1051.70","1031.20","1049.70"
"Fri Nov 29 2002 00:00:00 GMT+0530 (India Standard Time)","1049.50","1057.40","1040.90","1050.10"
"Mon Dec 02 2002 00:00:00 GMT+0530 (India Standard Time)","1050.10","1070.10","1050.10","1067.90"
"Tue Dec 03 2002 00:00:00 GMT+0530 (India Standard Time)","1067.70","1075.70","1051.80","1055.00"
